# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=688345515
# chain_id=2
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu
-27.155,1,0.25,1,3,0,28.0777,0.252442
-27.155,0,14.3855,0,1,1,27.1694,0.252442
-27.155,0,2.43117,0,1,1,28.4569,0.252442
-27.3235,0.701719,0.239791,2,3,0,29.1506,0.124643
-27.2259,0.993066,0.138316,2,5,0,27.4682,0.338686
-28.8922,0.728675,0.204168,1,3,0,29.1942,0.671163
-27.6033,0.963081,0.147757,3,7,0,30.0341,0.0427582
-27.1672,1,0.228897,1,3,0,27.5302,0.21942
-27.1837,0.985951,0.413786,1,1,0,27.1994,0.200806
-27.1837,0.0376892,0.733011,1,1,0,27.1968,0.200806
-27.375,0.997728,0.0655554,3,11,0,27.3751,0.106155
-27.2261,1,0.12312,2,3,0,27.3679,0.170114
-28.5044,0.691379,0.234213,1,3,0,29.0743,0.621722
-27.1773,1,0.169401,3,7,0,28.3285,0.301791
-27.2335,0.971074,0.3232,1,1,0,27.2461,0.343088
-27.2755,0.430202,0.561137,1,3,0,27.31,0.144676
-27.3055,0.994968,0.183475,1,1,0,27.3175,0.131796
-28.0559,0.357946,0.342794,2,3,0,28.9263,0.554548
-27.4696,0.991407,0.0921736,2,7,0,28.5872,0.431822
-27.4573,0.983651,0.17015,3,7,0,27.776,0.0806166
-27.9385,0.349462,0.304209,2,3,0,30.5444,0.534317
-28.3593,0.995398,0.0826731,3,7,0,28.372,0.601417
-28.0157,1,0.152664,1,1,0,28.3352,0.54778
-28.3202,0.961741,0.282914,2,3,0,28.6374,0.595737
-27.365,1,0.464831,1,1,0,27.4342,0.109545
-27.365,0.026368,0.844976,1,3,1,27.6063,0.109545
-27.2425,0.998729,0.0964317,2,7,0,27.4364,0.160897
-27.3032,0.943072,0.175288,1,3,0,27.8181,0.376207
-27.3032,0.465256,0.27017,1,3,0,29.171,0.376207
-27.6808,0.968651,0.110491,1,3,0,27.9398,0.483734
-27.9187,0.961321,0.182061,1,1,0,27.9487,0.530766
-27.9727,0.977289,0.29166,1,1,0,28.2938,0.540363
-27.9727,4.41638e-06,0.484011,1,1,0,28.9608,0.540363
-28.0493,0.998995,0.0585084,2,3,0,28.0782,0.553442
-27.8826,1,0.103325,1,1,0,28.0407,0.524157
-27.8726,1,0.181289,1,1,0,27.9957,0.5223
-28.2936,0.867867,0.315249,2,3,0,28.6703,0.591822
-27.1697,1,0.38603,1,1,0,27.5954,0.29284
-27.1697,0.165037,0.661586,1,1,0,27.3702,0.29284
-27.1756,0.990636,0.133858,2,5,0,27.3356,0.208979
-27.1736,0.856898,0.223961,2,3,0,28.1555,0.297646
-27.4663,0.92565,0.265753,1,3,0,27.4669,0.430887
