# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=688345515
# chain_id=1
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu
-27.7186,1,0.25,1,1,0,29.3542,0.0171102
-27.7186,0,14.3855,0,1,1,29.1531,0.0171102
-27.7186,0,2.43117,0,1,1,28.0132,0.0171102
-27.1683,0.556881,0.239791,2,3,0,31.7407,0.291066
-27.1631,0.994571,0.0914428,2,7,0,27.3984,0.225942
-27.4193,0.961144,0.133167,1,3,0,27.7314,0.0918979
-27.4193,0.949587,0.194122,1,1,0,27.6463,0.0918979
-27.2268,1,0.289662,1,1,0,27.359,0.169685
-27.3412,0.854142,0.524825,1,1,0,27.5323,0.117995
-27.1652,1,0.613872,1,1,0,27.1682,0.286476
-27.1652,0.0131038,1.15098,1,2,1,27.1743,0.286476
-27.2705,0.99711,0.0960875,3,7,0,27.2944,0.361964
-28.0569,0.780343,0.181268,1,3,0,29.5104,-0.045799
-28.5992,0.973869,0.173482,2,3,0,28.6192,-0.125477
-29.717,0.594329,0.305047,1,1,0,30.3566,-0.251577
-28.4864,0.956943,0.164881,2,3,0,30.52,-0.110344
-27.3743,0.927691,0.274942,2,3,0,28.903,0.402555
-27.5311,0.872499,0.417024,1,1,0,27.7756,0.448373
-27.5311,1.74899e-08,0.532456,1,1,0,28.6109,0.448373
-27.6564,0.998021,0.0492115,2,5,0,27.7807,0.478341
-27.171,0.990113,0.0927772,2,7,0,28.2639,0.214427
-27.1641,0.994501,0.169253,1,3,0,27.2304,0.284745
-27.1641,0.111508,0.30984,1,1,0,29.5383,0.284745
-27.1766,0.99989,0.043141,3,9,0,27.1882,0.301047
-27.2139,0.999273,0.0803985,3,9,0,27.2222,0.177695
-27.9578,0.943102,0.148048,2,3,0,27.9599,-0.0288246
-27.7138,1,0.230171,1,1,0,27.9937,0.0181123
-27.1938,1,0.416797,1,1,0,27.2981,0.316822
-27.1938,5.65183e-05,0.747286,1,1,0,27.2792,0.316822
-27.1621,0.990158,0.0838542,2,7,0,27.7033,0.2277
-27.1656,0.999925,0.14689,3,7,0,27.1659,0.287196
-27.3205,0.953693,0.261793,2,3,0,27.4122,0.125819
-27.3205,0.0368086,0.408052,1,1,0,28.9126,0.125819
-27.165,0.999302,0.0544989,3,11,0,27.4724,0.286267
-27.4873,0.986203,0.0963777,3,7,0,27.7431,0.436721
-27.8262,0.774581,0.163165,1,3,0,30.4293,-0.00456751
-27.3684,0.948206,0.157718,3,7,0,28.8445,0.108394
-27.4327,0.981786,0.239056,1,1,0,27.4815,0.0878409
-27.6283,0.860094,0.392417,1,1,0,27.8906,0.0369366
-27.2467,1,0.468774,1,1,0,27.2707,0.350222
-27.2467,2.69462e-09,0.79559,1,1,0,27.3105,0.350222
-27.1549,0.999224,0.108751,2,5,0,27.2817,0.253038
-27.1857,0.989023,0.184721,2,3,0,27.2472,0.199015
-29.6371,0.323042,0.303551,1,1,0,29.6386,-0.243628
-29.3811,1,0.0964322,1,1,0,29.6466,-0.217245
-29.554,0.977473,0.162326,1,1,0,29.7883,-0.235216
-28.5693,1,0.256815,2,3,0,29.2291,0.630458
-28.7579,0.947532,0.426155,1,3,0,28.7645,-0.145805
-28.7579,3.53599e-20,0.619463,1,1,0,29.0127,-0.145805
-28.2079,1,0.0945714,2,3,0,28.796,-0.0699523
-27.3252,1,0.156321,2,3,0,28.164,0.123992
-27.3182,1,0.256639,1,1,0,27.3756,0.126698
-27.7355,0.69373,0.418561,1,1,0,27.7437,0.495351
-27.6124,1,0.334188,2,3,0,27.7006,0.0406258
-27.6124,1.65054e-09,0.540595,1,1,0,28.6632,0.0406258
-28.3065,0.958623,0.0887262,1,3,0,28.9254,-0.0848092
-28.5989,0.975237,0.13094,1,1,0,28.6165,-0.12544
-27.8847,1,0.199619,1,1,0,28.4783,-0.0156097
-28.3738,0.778396,0.319985,1,1,0,28.7528,-0.094571
-27.187,1,0.311357,1,1,0,27.8092,0.197868
-27.187,0.0214261,0.494858,1,1,0,28.0361,0.197868
-27.164,0.999545,0.0908398,2,7,0,27.2147,0.224295
-27.3055,0.98983,0.144459,3,7,0,27.3704,0.1318
-27.3796,0.981609,0.223693,1,1,0,27.4025,0.104603
-27.7133,0.702571,0.338546,2,3,0,28.0075,0.490694
-27.1663,1,0.279874,1,3,0,27.5009,0.288259
-27.1663,0.0019066,0.437874,1,1,0,28.7428,0.288259
-27.2367,0.997621,0.0816512,2,7,0,27.3044,0.164077
-27.1558,0.994142,0.127314,2,5,0,27.3652,0.244917
-27.2107,0.99327,0.196096,2,3,0,27.2173,0.179777
-27.1574,1,0.300056,1,1,0,27.1871,0.238846
-27.1574,0.0730213,0.463457,1,1,0,27.7666,0.238846
-27.7339,0.97887,0.104621,2,7,0,27.7605,0.49502
-27.7555,0.997412,0.154835,1,1,0,27.817,0.499467
-28.7083,0.765065,0.237033,1,1,0,28.755,0.648491
-28.5878,0.762705,0.225008,2,3,0,32.1903,-0.123971
-27.1675,1,0.212666,2,3,0,28.5888,0.219018
-27.4662,0.897878,0.32456,2,3,0,27.4758,0.0780813
-27.1552,1,0.401799,1,1,0,27.2479,0.260063
-27.1552,0.000534899,0.608642,1,1,0,27.6779,0.260063
-27.1704,0.997618,0.125944,1,3,0,27.1941,0.293743
-27.1763,0.991949,0.190156,1,3,0,27.2416,0.20828
-27.1553,0.966429,0.282777,2,3,0,27.2615,0.24802
-27.2075,0.959433,0.398468,1,1,0,27.2116,0.326938
-27.1996,0.494274,0.552063,1,3,0,27.2065,0.187607
-27.9479,0.699287,0.309124,1,1,0,27.9634,-0.0270674
-28.1201,0.844417,0.258579,2,3,0,29.2247,0.565054
-29.5631,0.553197,0.286384,1,1,0,29.865,0.745069
-29.651,0.985618,0.181443,1,1,0,30.0189,0.753949
-27.2044,0.951822,0.263148,1,3,0,29.1651,0.184116
-27.2044,0.349233,0.35673,1,1,0,27.9366,0.184116
-27.2119,0.988224,0.154502,2,3,0,27.3567,0.178984
-27.1979,1,0.224182,1,1,0,27.2162,0.188939
-29.1594,0.562776,0.331443,1,3,0,29.1614,0.702065
-29.1594,0.472169,0.216117,1,1,0,31.6631,0.702065
-29.7384,0.959463,0.119529,1,1,0,29.7435,0.762614
-28.9848,1,0.163547,1,1,0,29.6951,0.682123
-29.4837,0.955201,0.24046,2,3,0,29.9188,0.736922
-27.5856,1,0.324603,2,3,0,28.5645,0.461942
-27.5856,0.0593664,0.474328,1,1,0,27.763,0.461942
-27.5856,0.000637774,1.99895,1,1,0,28.1773,0.461942
-27.5856,0,4.67309,0,1,1,29.1658,0.461942
-27.1552,0.998947,0.460922,3,7,0,27.6688,0.259594
-27.3906,0.960834,0.4788,2,5,0,28.0879,0.100982
-27.3692,0.998568,0.578999,3,7,0,27.4796,0.400796
-27.1578,0.997557,0.897183,2,3,0,27.3858,0.271566
-27.524,0.780298,1.51083,1,1,0,27.5336,0.0623922
-27.2523,0.568236,1.36138,2,3,0,28.2825,0.353138
-27.2097,0.985082,0.640309,2,3,0,27.4465,0.328474
-27.1757,1,1.12978,2,3,0,27.2078,0.208923
-27.1757,0.000117887,2.11804,1,1,0,28.7007,0.208923
-27.1581,0.9999,0.169731,3,15,0,27.2073,0.272353
-27.2091,0.996815,0.323141,2,5,0,27.334,0.180873
-27.216,0.989546,0.609957,3,7,0,27.4199,0.176299
-27.3991,0.933792,1.12278,1,1,0,27.4092,0.0982316
-27.7909,0.705876,1.73066,1,1,0,27.7954,0.506592
-28.0021,0.944133,1.31763,2,3,0,28.2506,0.545453
-28.0021,5.807e-06,2.08792,1,1,0,32.1793,0.545453
-27.159,0.996076,0.188124,4,15,0,29.0679,0.234262
-27.3312,0.989784,0.352122,2,5,0,27.5943,0.387183
-27.399,0.991765,0.640986,1,1,0,27.4034,0.410642
-27.4494,0.979939,1.16295,1,1,0,27.5427,0.426037
-27.4494,0.011216,2.01879,1,1,0,27.7628,0.426037
-27.1771,0.99984,0.207911,3,15,0,27.5164,0.2074
-27.155,0.997239,0.384513,2,7,0,27.295,0.257193
-27.3592,0.983323,0.698726,3,7,0,27.3596,0.397367
-27.3145,1,1.20853,2,3,0,27.3507,0.128154
-27.3145,0.666567,2.17055,1,1,0,27.6592,0.128154
-27.4153,0.788656,1.5252,2,3,0,27.543,0.0931481
-27.3409,1,1.51043,1,1,0,27.5032,0.118132
-28.1482,0.18145,2.66883,1,1,0,29.7224,-0.0606238
-28.0088,1,0.50576,1,1,0,28.1581,-0.0376791
-28.0687,0.75782,0.8933,2,7,0,30.2186,0.556676
-27.1938,0.928863,0.818468,1,3,0,28.646,0.19213
-28.4042,0.605547,1.18162,1,1,0,28.4043,-0.0989055
-29.3357,0.864837,0.724752,1,1,0,29.3522,-0.212405
-28.3063,1,0.880994,1,1,0,29.1816,-0.0847717
-27.1565,1,1.51476,1,1,0,27.5904,0.242084
-27.1565,1.19654e-05,2.58259,1,1,0,27.8113,0.242084
-27.4789,0.990747,0.341366,2,5,0,27.576,0.434403
-27.1628,0.95396,0.570263,1,3,0,28.2262,0.226412
-28.3548,0.76733,0.861881,1,3,0,28.6658,-0.0918501
-27.1884,0.917613,0.813029,1,3,0,29.0435,0.312304
-27.1566,0.997945,1.11325,2,3,0,27.1875,0.241675
-27.1566,0.454794,1.84836,1,1,0,27.367,0.241675
-27.7552,0.866836,0.809851,1,3,0,28.094,0.499413
-27.7538,1,0.973796,1,1,0,27.9231,0.499126
-27.7538,0.455739,1.60876,1,1,0,28.6818,0.499126
-27.1578,0.966877,0.719104,2,7,0,28.2302,0.237359
-27.155,1,1.09277,1,3,0,27.1569,0.250908
-27.3569,0.660482,3.57045,1,1,0,27.5907,0.396537
-27.3569,0,27.7048,0,1,1,27.4907,0.396537
-27.3569,0.00461375,3.89935,1,3,0,27.3699,0.396537
-27.7214,0.993339,0.350739,3,11,0,28.0453,0.0165146
