# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=688345515
# chain_id=3
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu
-27.3475,0.513977,0.422367,1,1,0,27.8306,0.115718
-28.2562,0.764188,0.250641,1,3,0,28.8025,0.586238
-27.8523,1,0.238202,1,1,0,28.2697,0.518482
-27.9715,0.976408,0.350857,2,3,0,28.0134,0.540155
-27.1644,1,0.493087,1,1,0,27.2844,0.223668
-27.1644,2.48632e-07,0.721625,1,1,0,27.5514,0.223668
-27.5369,0.965182,0.16832,2,3,0,27.5425,0.0590741
-27.4359,1,0.231437,1,1,0,27.565,0.0868776
-27.1556,0.997725,1.35245,1,3,0,27.4074,0.262683
-27.1556,0,19.3754,0,1,1,27.1803,0.262683
-27.1556,1.08616e-07,3.27046,1,1,0,28.6014,0.262683
-27.1565,0.999868,0.322347,2,7,0,27.1711,0.242075
-30.5909,0.939222,0.435639,4,15,0,31.6122,0.840488
-27.5528,0.997232,0.56819,2,7,0,30.8155,0.453884
-28.4722,0.940169,0.954161,3,7,0,28.5455,-0.108394
-27.4545,1,1.41255,1,1,0,28.1624,0.0814194
-27.4545,5.82106e-05,2.59121,1,1,0,30.6514,0.0814194
-27.6556,0.999099,0.205564,4,19,0,27.81,0.478176
-27.5485,1,0.383582,2,3,0,27.6602,0.452813
-27.2277,0.991336,0.724393,2,5,0,27.8067,0.169171
-27.1811,1,1.33501,1,1,0,27.2163,0.203312
-27.1811,0.53755,2.52497,1,1,0,27.4111,0.203312
-27.1737,1,1.12425,2,3,0,27.1816,0.211125
-27.5507,0.763586,2.12224,1,1,0,27.6089,0.055565
-27.5507,0.65205,1.9218,1,1,0,28.1336,0.055565
-27.1554,0.998696,1.2409,1,3,0,27.5455,0.247423
-27.1554,0.31722,2.3083,1,1,0,27.5457,0.247423
-27.9272,0.975467,0.54848,2,7,0,27.9848,0.532291
-27.5042,0.984892,0.95017,3,7,0,28.2144,0.441303
-27.5042,0.391206,1.67819,1,1,0,28.7651,0.441303
-27.3189,0.997447,0.515289,1,3,0,27.6063,0.382482
-27.2604,1,0.940512,1,1,0,27.3127,0.357148
-27.1809,0.703257,1.71219,2,3,0,27.9591,0.203545
-27.3069,0.818592,1.32183,2,3,0,28.33,0.377706
-27.1607,0.972273,1.42121,2,3,0,27.463,0.278502
-27.1581,1,2.35023,1,1,0,27.1622,0.272404
-27.1581,0.017833,4.16325,1,1,0,27.2409,0.272404
-27.4209,0.992946,0.484875,3,7,0,27.4876,0.417501
-28.3905,0.954577,0.845585,3,7,0,28.4731,0.605884
-29.4786,0.91371,1.31654,2,3,0,29.6438,0.736385
-27.3351,1,1.82283,1,1,0,28.4701,0.388678
-27.3351,0.0418582,3.16144,1,1,0,27.3832,0.388678
-27.1786,0.992435,0.428826,2,7,0,27.8912,0.205854
-27.166,0.999979,0.731034,2,3,0,27.1799,0.221115
-27.165,0.989096,1.26028,2,3,0,27.2393,0.286229
-27.1804,0.976357,2.09435,2,3,0,27.1899,0.304906
-27.2158,0.939016,3.34196,1,1,0,27.3035,0.332497
-27.2158,0.0478786,4.81404,1,1,0,27.6444,0.332497
-27.1642,0.98638,0.72366,1,3,0,27.4861,0.223951
-27.6981,0.901426,1.18095,2,3,0,27.9881,0.487465
-27.1587,0.994446,1.54811,1,3,0,27.5297,0.235011
-27.6353,0.612537,2.54447,1,1,0,27.7886,0.0353426
-27.6993,0.991174,1.62475,2,3,0,27.6995,0.487721
-27.4583,1,2.62928,1,1,0,27.4597,0.0803365
-27.4583,1.68451e-07,4.31732,1,3,1,27.4739,0.0803365
-27.1577,0.973238,0.635175,1,3,0,28.1504,0.237664
-27.1749,0.998259,0.981122,2,3,0,27.1777,0.209821
-30.0083,0.48523,1.5986,1,3,0,30.0275,-0.279574
-30.0139,0.99943,0.772193,1,1,0,30.304,-0.280095
-30.0139,0,11.0969,0,1,1,30.0196,-0.280095
-28.5201,0.666842,1.87481,2,3,0,30.0679,-0.114926
-30.1712,0.712572,1.09298,1,1,0,30.1967,-0.294607
-30.4727,0.972085,0.739269,1,1,0,30.649,-0.321397
-29.6935,1,1.11506,2,3,0,30.6603,-0.249253
-28.5309,0.926578,1.95243,1,3,0,29.1082,0.625308
-28.5309,0.00724885,2.82995,1,3,0,28.5309,0.625308
-28.1212,0.998773,0.232049,3,7,0,28.835,0.56523
-28.2044,0.997245,0.427393,2,3,0,28.3022,0.578345
-27.9864,1,0.794277,1,1,0,28.2084,0.542743
-27.9864,0.288081,1.4978,1,1,0,30.1022,0.542743
