# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=505698096
# chain_id=3
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=norm_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu
-30.1219,1,0.25,2,3,0,36.0192,0.25632
-30.1219,0,14.3855,0,1,1,30.2636,0.25632
-30.1219,0,2.43117,0,1,1,31.5262,0.25632
-31.6479,0.644713,0.239791,1,1,0,31.7189,0.449039
-30.982,0.996365,0.117527,3,7,0,31.9974,0.375993
-30.0838,1,0.173959,1,1,0,30.8461,0.249891
-29.4197,1,0.28769,2,3,0,29.8567,0.0963518
-29.4197,0.00085158,0.505503,1,1,0,31.2735,0.0963518
-29.2815,0.998933,0.0398555,2,7,0,29.6702,0.0319107
-29.6449,0.991495,0.0727297,2,5,0,29.8473,0.161768
-29.322,0.81934,0.132353,3,7,0,35.0255,-0.141348
-29.2253,0.990099,0.141383,1,3,0,29.4718,-0.0418322
-29.2253,0.463389,0.26059,1,3,0,31.4068,-0.0418322
-30.2376,0.976945,0.0921769,3,7,0,30.2449,-0.361126
-30.0878,1,0.164213,1,1,0,30.2872,-0.33666
-29.369,1,0.313172,1,1,0,29.8018,-0.162891
-29.8176,0.193831,0.593556,1,3,0,30.1647,0.200284
-29.4377,0.994646,0.0951732,2,7,0,30.1155,0.102685
-29.6432,0.847655,0.177981,3,7,0,31.1716,-0.247412
-29.4183,0.924906,0.212144,1,3,0,30.294,0.0958794
-30.2664,0.651566,0.317773,1,1,0,30.3665,0.27954
-29.6069,1,0.210887,1,1,0,30.1226,0.15227
-29.7451,0.966479,0.391602,1,3,0,29.7627,-0.270975
-29.2542,1,0.653079,1,1,0,29.4452,-0.096818
-29.2542,1.44646e-41,1.18956,1,1,0,29.3245,-0.096818
-30.1191,0.905481,0.1232,2,7,0,31.4332,-0.341938
-29.758,1,0.172447,1,1,0,30.0727,-0.273794
-29.8906,0.398009,0.313036,2,3,0,32.2976,0.214832
-29.3324,0.97592,0.105218,1,3,0,30.5748,0.0604345
-29.4065,0.988367,0.177699,1,1,0,29.4085,0.0915358
-29.381,1,0.307827,1,1,0,29.4676,0.0817148
-29.8,0.340325,0.545388,1,3,0,30.0046,-0.282717
-29.6809,1,0.161916,2,3,0,29.8099,-0.256432
-29.5956,0.861193,0.285688,2,3,0,30.4046,-0.235422
-29.6484,0.989633,0.345723,2,3,0,29.6837,-0.248691
-29.6484,0.0054793,0.584638,1,1,0,29.6606,-0.248691
-29.2266,0.992029,0.0752379,2,7,0,30.3717,-0.0312837
-29.2258,0.999964,0.128474,2,3,0,29.2274,-0.035747
-29.4004,0.955857,0.222032,1,3,0,29.4564,-0.175344
-29.4004,0.104894,0.340034,1,1,0,31.2774,-0.175344
-29.3517,0.999658,0.0600973,1,3,0,29.4311,-0.155471
-29.2523,0.996366,0.103059,1,3,0,29.457,-0.095058
-29.6185,0.964118,0.173879,2,3,0,29.6465,-0.241296
-29.2518,0.909746,0.268774,2,3,0,30.0604,-0.0945482
-29.2518,0.0308724,0.361198,1,1,0,31.216,-0.0945482
-29.2559,0.999649,0.0566445,3,11,0,29.3056,0.0122752
-29.3564,0.991862,0.0952623,1,3,0,29.4873,0.0714254
-30.0752,0.772635,0.15608,1,3,0,32.3771,-0.334505
-30.4469,0.9588,0.150424,1,1,0,30.4568,-0.392472
-29.3366,1,0.225574,2,3,0,30.2224,0.0624357
-29.3366,0.919158,0.3707,1,1,0,29.4713,0.0624357
-29.3366,0.239428,0.500778,1,1,0,29.8607,0.0624357
-29.3655,0.997225,0.13862,1,1,0,29.368,0.0753439
-29.2952,1,0.224791,2,3,0,29.3539,0.0405565
-29.2313,1,0.364552,1,1,0,29.2629,-0.018505
-29.2313,2.84786e-05,0.587541,1,1,0,30.2506,-0.018505
-29.564,0.98277,0.0974712,2,5,0,29.8876,-0.227049
-29.7271,0.981475,0.151416,1,1,0,29.7299,-0.266992
-29.5162,0.911313,0.233244,2,3,0,30.4987,0.127491
-29.7944,0.878072,0.305696,1,1,0,29.9229,0.195458
-30.0683,0.828095,0.370994,1,1,0,30.5081,0.247242
-29.9362,1,0.402397,1,3,0,29.9845,-0.309614
-29.9362,6.8389e-07,0.635012,1,1,0,29.9425,-0.309614
-29.5057,0.994489,0.113284,2,5,0,30.2003,0.124372
-29.3978,0.932942,0.176977,3,7,0,30.2858,-0.174342
-29.8097,0.887225,0.240964,1,1,0,29.8175,-0.284731
-29.4189,1,0.296479,1,1,0,29.7067,-0.182158
-29.3248,1,0.462512,1,1,0,29.4743,-0.142807
-29.3248,5.98696e-05,0.717951,1,1,0,29.3665,-0.142807
-29.2922,1,0.135431,1,1,0,29.3219,-0.124852
-29.3228,0.969407,0.210586,1,3,0,29.5336,0.055698
-29.5229,0.910642,0.305782,1,1,0,29.564,0.129445
-29.3168,1,0.391588,1,1,0,29.4798,0.0526307
-29.3168,0.0117036,0.601156,1,1,0,30.1061,0.0526307
-29.2509,0.999117,0.121364,2,7,0,29.3445,0.0075733
-29.2541,0.98812,0.186248,1,3,0,29.3598,-0.096682
-29.33,0.77321,0.27828,2,3,0,30.0044,-0.145346
-30.978,0.651547,0.268417,1,3,0,31.3113,0.375517
-30.6255,1,0.202862,2,3,0,31.1042,0.331068
-30.8053,0.918072,0.308328,1,1,0,31.4669,0.354354
-29.2877,1,0.396548,1,1,0,29.6819,-0.122031
-29.2877,0.0226566,0.598232,1,1,0,29.3841,-0.122031
-29.2253,0.993771,0.131263,1,3,0,29.3972,-0.0454863
-29.254,0.99388,0.195856,1,3,0,29.2661,-0.0965928
-30.0458,0.753643,0.291173,2,3,0,30.2774,-0.329414
-30.2387,0.931803,0.270535,1,1,0,30.5151,-0.361304
-29.3861,0.793749,0.35485,2,3,0,30.026,0.0837555
-30.5536,0.477038,0.356002,1,1,0,30.7523,0.321326
-30.2374,1,0.194758,1,1,0,30.6051,0.275027
-29.9297,1,0.290215,2,3,0,30.1898,-0.308379
-31.2977,0.280647,0.430893,1,1,0,31.3398,0.412089
-29.4038,0.997967,0.163807,3,7,0,31.3769,-0.176606
-29.3839,1,0.242018,1,1,0,29.4405,-0.168941
-29.5084,0.834436,0.357694,2,3,0,29.6254,-0.211256
-29.8036,0.932736,0.386921,1,3,0,29.8115,0.197391
-30.2036,0.277102,0.501967,1,3,0,30.3133,-0.355744
-31.2375,0.824182,0.193356,1,1,0,31.2512,-0.491504
-30.4688,1,0.205536,2,3,0,31.1788,-0.395595
-29.331,1,0.301404,1,1,0,29.9792,-0.145821
-29.331,0.671222,0.440564,1,1,0,29.6013,-0.145821
-29.331,1.3484e-14,2.82469,1,1,0,29.8852,-0.145821
-29.331,3.83918e-26,6.59583,1,2,1,30.0722,-0.145821
-29.2363,0.981859,0.650344,1,3,0,29.5466,-0.00984839
-29.4803,0.957115,0.645372,2,3,0,29.6967,0.116617
-29.2253,0.99088,0.769551,1,3,0,29.5698,-0.0415811
-29.2253,0.307703,1.16233,1,3,0,32.811,-0.0415811
-29.2454,0.999413,0.236217,4,15,0,29.3045,-0.0879219
-29.236,0.99191,0.405899,3,7,0,29.5702,-0.0758684
-29.2824,0.982583,0.712133,1,3,0,29.397,0.0325265
-29.253,0.818175,1.24519,2,3,0,29.6453,-0.0956447
-29.3201,0.678079,1.31315,2,3,0,29.8535,0.0543197
-29.3597,0.964332,0.896553,1,3,0,29.604,-0.158947
-29.2991,1,1.51998,1,1,0,29.3808,-0.128968
-29.2991,6.99268e-39,2.88253,1,1,0,31.4824,-0.128968
-29.2334,0.999637,0.240933,4,15,0,29.3777,-0.0715256
-30.9633,0.920122,0.460868,2,7,0,31.3905,-0.459836
-29.2256,0.940238,0.686241,3,7,0,32.0907,-0.0373214
-29.2962,0.980772,1.08252,1,3,0,29.2983,0.0411619
-29.6805,0.645591,1.92018,1,1,0,29.7583,-0.256339
-29.7577,0.988119,1.23346,2,3,0,29.8484,0.187648
-29.7577,0.168693,2.21759,1,1,0,31.0411,0.187648
-29.2716,0.98302,0.35037,2,7,0,30.7736,-0.111108
-29.6105,0.90107,0.621801,1,3,0,30.6006,0.153175
-30.1084,0.892101,0.861658,1,1,0,30.122,0.254056
-29.5714,1,1.15755,1,1,0,29.996,0.142961
-29.3839,1,2.10648,1,1,0,29.6836,0.0828898
-29.3839,1.66443e-07,3.79507,1,2,1,29.4748,0.0828898
-29.402,0.99907,0.408103,1,1,0,29.4042,0.0898706
-29.6101,0.965751,0.736368,1,1,0,29.6102,0.153082
-29.6313,0.922342,1.20001,2,3,0,30.0573,0.158402
-30.0158,0.703018,1.72236,1,1,0,30.5335,0.238062
-29.6452,0.931673,1.35447,2,3,0,30.0786,-0.247911
-29.8025,0.826657,1.97977,1,1,0,30.4189,-0.283226
-29.8025,0.000771744,2.17225,1,1,0,29.9381,-0.283226
-29.7603,1,0.266619,1,1,0,29.8018,-0.274294
-29.7363,0.998418,0.468133,3,7,0,29.9123,-0.269043
-29.468,1,0.811269,1,1,0,29.6875,-0.198807
-29.2885,0.996234,1.39953,1,3,0,29.3684,0.03644
-29.3302,0.930104,2.3709,1,1,0,29.4896,0.0593737
-29.3302,4.72348e-18,3.36604,1,1,0,29.4801,0.0593737
-29.8852,0.943704,0.451973,1,3,0,30.4752,0.213783
-30.2008,0.985788,0.668599,2,3,0,30.2179,0.269212
-29.2908,1,1.092,1,3,0,29.8656,0.0378818
-29.3355,0.954614,1.83403,1,1,0,29.4261,0.0619221
-29.3355,0.000308062,2.73457,1,1,0,29.3883,0.0619221
-29.2323,0.999839,0.395264,3,7,0,29.3528,-0.0166128
-29.2316,1,0.660845,1,1,0,29.2328,-0.0178239
-29.2364,0.998213,1.0973,1,1,0,29.2383,-0.00962578
-29.2821,0.955275,1.8015,1,1,0,29.2865,-0.118399
-29.2426,0.336904,2.65297,1,3,0,29.2474,-0.00136945
-29.6674,0.694929,1.8096,2,3,0,30.4512,-0.253248
-29.6674,0,14.9491,0,1,1,29.6675,-0.253248
-29.7371,0.96224,2.14346,1,1,0,29.9847,-0.269214
-29.7371,0.000800672,2.49996,1,1,0,32.3529,-0.269214
-29.7528,0.999257,0.220886,3,7,0,29.9278,-0.272668
-29.3177,0.998081,0.330322,3,13,0,30.1777,0.0530889
-29.3824,0.985576,0.543785,2,7,0,30.096,-0.168358
-29.7329,0.976422,0.914203,2,3,0,29.7715,-0.268292
-29.7329,0.541874,1.54638,1,1,0,31.2525,-0.268292
