# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=505698096
# chain_id=2
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=norm_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu
-35.4532,1,0.25,2,3,0,59.0025,0.745933
-35.4532,0,14.3855,0,1,1,36.4456,0.745933
-35.4532,0,2.43117,0,1,1,37.7383,0.745933
-31.3641,1,0.239791,1,1,0,34.4178,0.419325
-31.8371,0.850912,0.324332,2,3,0,32.7421,-0.553978
-30.7381,1,0.325194,1,1,0,32.0839,-0.431898
-30.7381,3.59813e-12,0.546954,1,1,0,31.3547,-0.431898
-30.8835,0.99832,0.0432089,2,3,0,30.961,-0.450157
-31.0645,0.999246,0.0764585,3,7,0,31.0655,-0.471795
-30.5831,1,0.140103,2,3,0,31.0317,-0.411436
-29.49,1,0.262148,2,3,0,30.5409,0.119623
-29.49,0.0545501,0.495109,1,1,0,29.6466,0.119623
-29.3194,0.996,0.0477637,3,13,0,30.3288,0.0539747
-30.0421,0.982732,0.0904142,3,7,0,30.1665,0.242697
-29.2845,0.89777,0.164023,1,3,0,31.4578,-0.119979
-29.3544,0.964531,0.227888,2,3,0,29.5533,-0.15663
-29.3544,0.373447,0.388113,1,1,0,29.697,-0.15663
-29.4126,0.993512,0.108049,2,3,0,29.5061,-0.179869
-29.3085,1,0.201168,1,1,0,29.3927,-0.13423
-29.536,0.934305,0.37869,1,3,0,29.5367,0.133182
-29.536,0.00169517,0.580593,1,1,0,29.6088,0.133182
-29.3121,0.999886,0.0561292,2,5,0,29.5583,0.0501405
-29.2398,0.980856,0.105365,2,7,0,29.9669,-0.0811542
-29.5339,0.921086,0.185275,1,3,0,29.8767,0.132584
-29.4448,1,0.271736,2,3,0,29.5013,-0.191173
-29.4448,0.00102256,0.496235,1,1,0,30.0482,-0.191173
-29.3401,0.998073,0.0529483,2,7,0,29.6854,-0.150178
-29.3499,0.996285,0.0965596,2,7,0,29.5402,0.0685666
-30.1161,0.770633,0.173472,1,3,0,31.8193,-0.341442
-29.2775,0.994823,0.165497,3,7,0,30.2186,0.0292485
-29.2283,1,0.291975,1,1,0,29.2568,-0.025522
-29.2283,1.24704e-06,0.517529,1,1,0,31.0131,-0.025522
-29.2403,0.999753,0.0614564,2,7,0,29.2489,-0.00427425
-29.2398,1,0.109218,1,1,0,29.2409,-0.00492243
-29.2855,0.980559,0.192426,1,3,0,29.3876,-0.120629
-30.2026,0.752753,0.319215,2,3,0,30.2199,-0.355582
-29.8168,1,0.289946,1,1,0,30.263,-0.286189
-29.2469,1,0.50015,1,1,0,29.3069,0.00343692
-29.2469,1.35263e-15,0.855463,1,1,0,30.3346,0.00343692
-29.227,0.999989,0.113426,2,7,0,29.2476,-0.0561013
-29.2379,0.996665,0.194562,1,3,0,29.2542,-0.00749188
-29.2379,0.585797,0.328274,1,3,0,30.0778,-0.00749188
-29.2379,0.937393,0.197357,1,3,0,29.6015,-0.00749188
-29.2701,0.986979,0.285281,1,1,0,29.2734,0.0239033
-29.2258,1,0.463286,1,1,0,29.2391,-0.0356421
-29.2258,1.21624e-09,0.771231,1,1,0,29.7555,-0.0356421
-29.2257,0.999944,0.113084,3,7,0,29.228,-0.0492918
-29.2395,0.998521,0.188692,2,3,0,29.2395,-0.00527148
-29.4716,0.926441,0.311548,2,3,0,29.4853,0.113885
-29.7821,0.749822,0.43054,1,1,0,29.7875,-0.278962
-30.8875,0.623749,0.390642,1,3,0,30.889,0.364562
-29.696,1,0.264153,1,1,0,30.5347,0.173862
-29.5443,1,0.430734,1,1,0,29.5553,-0.221597
-29.5443,1.37834e-12,0.697861,1,1,0,29.6941,-0.221597
-29.4076,0.999907,0.113057,2,3,0,29.5581,-0.178048
-29.2266,0.988118,0.183524,1,3,0,29.5287,-0.0314942
-29.6435,0.887364,0.288264,1,3,0,29.6467,0.161421
-29.2962,1,0.358757,1,1,0,29.4994,0.0411598
-29.317,0.966377,0.573028,1,1,0,29.4569,0.0527238
-29.317,2.51012e-11,0.844386,1,1,0,30.7309,0.0527238
-29.2891,0.999501,0.14589,3,7,0,29.3449,0.0368516
-29.6373,0.891555,0.231997,1,3,0,29.917,-0.245967
-29.7649,0.982601,0.28973,2,3,0,29.7825,0.189209
-30.2924,0.600147,0.439874,1,1,0,31.0401,0.283553
-29.3628,1,0.290682,1,1,0,29.9259,0.0742266
-29.3628,0.620722,0.455877,1,1,0,29.3961,0.0742266
-29.3628,0.518215,0.316152,1,1,0,30.089,0.0742266
-29.3543,0.992499,0.177019,2,3,0,29.484,0.0705178
-30.7558,0.59555,0.271888,1,1,0,30.7567,0.348079
-29.4654,1,0.180368,3,7,0,30.5687,0.111894
-29.8092,0.937108,0.280029,2,3,0,29.9509,-0.284635
-29.2334,1,0.379615,1,1,0,29.4576,-0.0715297
-30.0001,0.270033,0.584228,1,1,0,30.6069,0.235257
-30.0001,0.891856,0.199138,1,1,0,30.503,0.235257
-29.2375,1,0.245266,1,3,0,29.8185,-0.00811005
-29.5112,0.824223,0.375715,1,1,0,29.55,0.126022
-29.8174,0.781454,0.401235,1,1,0,30.1308,0.200243
-29.2331,1,0.392782,1,1,0,29.4017,-0.0710807
-29.2331,0.00936118,0.596314,1,1,0,29.507,-0.0710807
-29.4778,0.96403,0.124643,1,3,0,29.8402,-0.2019
-29.512,0.994688,0.176416,1,1,0,29.5407,-0.21232
-29.2253,0.999705,0.264392,1,3,0,29.4312,-0.0417992
-29.2253,0.664437,0.398592,1,1,0,29.386,-0.0417992
-31.8122,0.521363,0.310322,2,3,0,31.8291,0.465449
-32.651,0.868635,0.183198,1,1,0,32.8649,0.542111
-32.3232,1,0.213236,2,3,0,33.1967,0.513415
-29.6509,1,0.319434,1,1,0,31.1918,0.163226
-29.2504,1,0.47672,1,1,0,29.411,0.00710563
-29.2851,0.916635,0.708828,1,1,0,29.4151,0.0342653
-29.2851,1.78021e-18,0.895867,1,1,0,29.4216,0.0342653
