# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=505698096
# chain_id=1
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=norm_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu
-29.3546,0.902774,0.440618,1,1,0,29.3633,0.0706772
-29.3546,0.0125384,0.542454,1,1,0,30.3834,0.0706772
-29.3125,0.987368,0.124944,3,7,0,29.7832,0.0503344
-29.3265,0.958134,0.180865,1,3,0,29.7229,-0.143631
-29.4004,0.992561,0.247118,2,3,0,29.4201,-0.175339
-30.292,0.492403,0.358941,2,3,0,30.5186,0.283488
-29.244,1,0.20615,2,3,0,30.2805,0.000275151
-29.244,0.468895,0.302804,1,3,0,30.9521,0.000275151
-29.2891,0.977656,0.167446,3,7,0,29.5171,0.0368155
-29.4542,0.823047,0.235544,2,3,0,30.4376,-0.194323
-29.4542,7.92254e-104,3.99083,1,1,0,30.9372,-0.194323
-29.4542,0,9.31885,0,1,1,29.6816,-0.194323
-29.7744,0.93746,0.918832,1,1,0,29.7761,-0.277328
-30.0982,0.95051,0.81007,1,1,0,30.1141,-0.338424
-29.6444,1,0.939816,2,3,0,30.0161,-0.247708
-29.2253,0.999994,1.44941,2,3,0,29.4341,-0.0442001
-29.2253,0.270564,2.44503,1,1,0,29.3832,-0.0442001
-29.2724,0.997662,0.449235,2,7,0,29.3008,-0.111692
-29.2524,1,0.80065,1,1,0,29.2697,-0.0951545
-35.6568,0.336393,1.47749,2,3,0,35.6927,-0.844807
-35.0676,1,0.339499,2,3,0,35.6445,-0.807199
-33.6325,1,0.642019,2,3,0,34.9899,-0.706741
-29.6219,1,1.22034,1,1,0,32.206,-0.242143
-29.6219,1.43217e-22,2.32007,1,1,0,35.0747,-0.242143
-29.6803,0.999323,0.19452,1,3,0,29.7098,-0.256312
-29.5017,0.998767,0.373039,1,3,0,29.7556,-0.209273
-29.433,0.994355,0.710268,2,3,0,29.6206,-0.187145
-29.6074,0.97453,1.32484,2,3,0,29.683,-0.238476
-29.3846,1,2.30854,1,1,0,29.3846,0.0831743
-29.3846,6.02317e-89,4.30904,1,1,0,30.13,0.0831743
-29.4226,0.993057,0.404087,2,7,0,29.7754,-0.183489
-30.271,0.723237,0.743075,1,3,0,32.9869,0.280258
-29.3569,0.810525,0.613658,1,3,0,34.1998,-0.15773
-29.2633,1,0.655603,2,5,0,29.3508,0.0185996
-30.3229,0.474883,1.20831,2,3,0,32.4872,0.288186
-30.4874,0.990545,0.491736,1,1,0,30.5,0.312133
-30.2847,1,0.875845,1,1,0,30.5879,0.282371
-29.881,1,1.58663,1,1,0,30.4731,0.212963
